"Date";"Time";"Programme";"MLCourse";"IRCourse";"StatCourse";"DBCourse";"Gender";"Chocolate";"Birthdate";"Neighbours";"Stresslevel";"Reward";"RandomNo";"Bedtime";"Goodday1";"Goodday2";"gd1";"gd2";"finalgd"
2021-03-29;23H 41M 2S;"BUS";1;0;1;0;1;3;1996;0;60;1;7;0;"Enough sleep";"Good food";"Resting";"F&B";"Resting"
2021-03-29;23H 53M 22S;"ECO";0;0;1;0;1;2;1997;0;21;0,22;5;22;"wake up early, be productive and relax with friends in evening";"Learning something new";"Goals";"Goals";"Goals"
2021-03-30;2H 59M 37S;"CS";0;0;0;1;1;3;1999;5;75;0;7;4;"no stress";"good weather";"Resting";"Weather";"Resting"
2021-03-30;3H 36M 10S;"BIO";1;0;1;1;1;2;1996;1;65;0;45;5;"1";"2";"Other";"Other";"Other"
2021-03-30;6H 33M 2S;"FIN";0;0;1;1;1;5;1996;0;20;0;9;19;"no exams or deadlines";"plenty of sleep";"Goals";"Resting";"Goals"
2021-03-30;8H 20M 19S;"BIO";1;0;1;0;1;3;1996;0;80;100;4;0;"sunshine";"music";"Weather";"Resting";"Weather"
2021-03-30;8H 44M 31S;"CS";1;1;1;1;1;3;1996;1;17;65;17;22;"odd jobs";"sports";"Other";"Exercise";"Exercise"
2021-03-30;9H 16M 58S;"Other";0;0;1;0;-1;3;1993;1;10;0;8;23;"sun";"exercise";"Weather";"Exercise";"Weather"
2021-03-30;9H 20M 47S;"CS";0;0;1;1;1;1;1996;0;50;60;7;1;"no lecture";"beautiful scenery";"Resting";"Other";"Resting"
2021-03-30;9H 22M 43S;"Other";0;0;1;0;-1;1;1995;0;67;2;7;22;"tea";"icecream";"F&B";"F&B";"F&B"
2021-03-30;9H 30M 43S;"BUS";1;1;1;1;0;4;1997;0;50;1;69;0;"sun";"no deadlines";"Weather";"Goals";"Weather"
2021-03-30;9H 30M 59S;"AI";1;0;1;0;-1;2;1998;1;55;0;7;23;"Playing sports";"Good food";"Exercise";"F&B";"Exercise"
2021-03-30;9H 40M 31S;"CS";0;1;1;1;1;1;1996;0;60;65;8;23;"Free time";"Being outside";"Resting";"Exercise";"Resting"
2021-03-30;9H 44M 1S;"FIN";1;0;1;0;-1;1;1999;0;60;100;2;22;"Sun";"Success";"Weather";"Other";"Weather"
2021-03-30;9H 48M 32S;"AI";1;1;0;1;1;3;1996;1;50;63;87;23;"Good weather";"No stress";"Weather";"Resting";"Weather"
2021-03-30;9H 49M 36S;"CS";1;0;0;0;1;3;1990;0;75;7;2;23;"sun";"cycling";"Weather";"Other";"Weather"
2021-03-30;10H 0M 0S;"Other";1;0;1;0;-1;1;1997;0;75;20;8;22;"The sun shines";"Meeting with friends";"Weather";"Social";"Weather"
2021-03-30;10H 7M 28S;"ECO";0;0;1;0;-1;3;1997;1;60;1;7;23;"Good weather";"Good sleep the prior day";"Weather";"Resting";"Weather"
2021-03-30;10H 9M 56S;"AI";1;1;1;0;1;1;1999;0;20;1;42;22;"good night sleep";"nice food";"Resting";"F&B";"Resting"
2021-03-30;10H 13M 11S;"AI";1;1;1;0;1;5;1995;0;50;0,2;8;22;"Sun";"25 degrees celsius";"Weather";"Other";"Weather"
2021-03-30;10H 31M 21S;"CS";0;0;1;1;-1;3;1996;0;77;70;3;23;"coffee";"fulfill the plan";"F&B";"Goals";"F&B"
2021-03-30;10H 32M 4S;"CS";1;1;1;1;1;1;1998;0;30;100;7;0;"Sleeping well";"Having a walk with my dog";"Resting";"Goals";"Resting"
2021-03-30;10H 36M 55S;"FIN";1;0;0;0;1;3;1998;0;10;5;21;23;"Sun shining";"Chatting with friends";"Weather";"Social";"Weather"
